pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.8461303711,727.9768066406,-14.9022607803,-15.6482725143,,,,,-27.6629676819,,1770496271.600739
79.9070053101,728.2457275391,-15.2702178955,-15.2837877274,,,,,-27.8032493591,,1770496271.611659
80.0287780762,728.0151977539,-14.9758491516,-15.7090082169,,,,,-27.8895759583,,1770496271.622195
79.8461303711,728.0536499023,-15.1966295242,-15.2230291367,,,,,-28.001083374,,1770496271.6326149
80.0287780762,728.0536499023,-15.5645723343,-15.7090082169,,,,,-27.9363365173,,1770496271.644921
79.8461303711,727.9383544922,-14.9390554428,-15.6482725143,,,,,-27.2385292053,,1770496271.65592
79.8461303711,727.8999023438,-15.1966295242,-15.6482725143,,,,,-27.4867172241,,1770496271.667045
78.9936904907,728.0536499023,-15.1966295242,-15.2230291367,,,,,-28.0946025848,,1770496271.677376
79.7243270874,727.3236083984,-15.2702178955,-15.2230291367,,,,,-27.71692276,,1770496271.69958
79.9070053101,728.2841796875,-15.5645723343,-15.2230291367,,,,,-27.9723072052,,1770496271.709663
79.9070053101,727.9383544922,-15.2702178955,-15.7090082169,,,,,-27.9974861145,,1770496271.720603
79.9679031372,729.4752197266,-15.5645723343,-15.6482725143,,,,,-27.5802383423,,1770496271.7310421
79.9679031372,728.3225708008,-15.2702178955,-15.2230291367,,,,,-28.033454895,,1770496271.743115
80.0287780762,727.9768066406,-14.9022607803,-15.2230291367,,,,,-27.7708778381,,1770496271.7552829
79.9679031372,728.3610229492,-15.5645723343,-15.2230291367,,,,,-27.5982246399,,1770496271.765378
79.9679031372,727.9383544922,-15.490983963,-15.8912620544,,,,,-27.9471282959,,1770496271.775776
79.9070053101,728.0151977539,-15.2334241867,-15.1622934341,,,,,-27.6234016418,,1770496271.787348
79.9070053101,728.0536499023,-15.2702178955,-15.7697677612,,,,,-28.0298595428,,1770496271.799142
80.0896759033,727.707824707,-14.9390554428,-15.1622934341,,,,,-28.0118732452,,1770496271.8097742
79.9070053101,727.9768066406,-14.8654661179,-15.2230291367,,,,,-27.6126117706,,1770496271.820013
78.9936904907,727.8999023438,-15.3438072205,-15.7090082169,,,,,-27.7852668762,,1770496271.8329668
79.4807815552,727.6309814453,-15.2702178955,-15.58751297,,,,,-27.1773796082,,1770496271.843146
79.9679031372,727.9383544922,-15.2334241867,-15.8305025101,,,,,-27.8572044373,,1770496271.8563561
79.9070053101,727.3236083984,-14.9390554428,-15.6482725143,,,,,-28.1197814941,,1770496271.864699
79.6634292603,728.0920410156,-15.2702178955,-15.7090082169,,,,,-27.4291667938,,1770496271.8758888
79.8461303711,727.9383544922,-15.307012558,-15.7697677612,,,,,-27.9363365173,,1770496271.88654
79.419883728,727.9383544922,-15.490983963,-15.7090082169,,,,,-27.3032722473,,1770496271.8980951
79.9679031372,727.9768066406,-15.2702178955,-15.8912620544,,,,,-28.2636604309,,1770496271.908454
80.0287780762,727.9768066406,-15.2702178955,-15.7090082169,,,,,-27.8284301758,,1770496271.9202728
79.9070053101,727.707824707,-14.9022607803,-15.6482725143,,,,,-27.8428173065,,1770496271.9306612
79.8461303711,728.0536499023,-15.2702178955,-15.1622934341,,,,,-27.6737594604,,1770496272.0658948
79.7852325439,727.3236083984,-15.5645723343,-15.7090082169,,,,,-27.9255466461,,1770496272.0766568
79.8461303711,727.3236083984,-15.2334241867,-15.2837877274,,,,,-27.4831218719,,1770496272.087631
79.7852325439,727.3236083984,-15.6013669968,-15.1622934341,,,,,-27.4291667938,,1770496272.0976498
79.9679031372,727.3236083984,-15.5277786255,-15.7697677612,,,,,-27.8248310089,,1770496272.1098309
79.7243270874,728.0920410156,-14.9758491516,-15.6482725143,,,,,-27.7636814117,,1770496272.121043
79.9070053101,727.3236083984,-15.2334241867,-11.2743873596,,,,,-28.1449604034,,1770496272.1318731
79.9070053101,728.0151977539,-15.2702178955,-15.1622934341,,,,,-27.6449832916,,1770496272.142004
79.8461303711,727.9768066406,-15.2702178955,-15.7697677612,,,,,-27.6521778107,,1770496272.153858
80.0896759033,728.0151977539,-15.5645723343,-15.6482725143,,,,,-28.2924346924,,1770496272.164886
79.7852325439,727.8999023438,-15.2702178955,-15.2230291367,,,,,-27.4471511841,,1770496272.175949
79.8461303711,727.9768066406,-15.2334241867,-15.8912620544,,,,,-28.0442466736,,1770496272.186304
79.7852325439,727.9768066406,-15.5277786255,-15.1015338898,,,,,-27.6773548126,,1770496272.198187
79.7852325439,727.9768066406,-15.2334241867,-15.7090082169,,,,,-27.7025356293,,1770496272.2093
79.7243270874,727.3236083984,-15.5645723343,-15.7090082169,,,,,-28.0622310638,,1770496272.220135
