pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,uptime,timestamp
109.70,-2.22,104313.51,-4.61,,-2.92,-8.18,866.99,-0.9397830963,-0.3497314453,1300260,1775935285.005484
111.26,-1.88,104313.51,-4.96,,-2.88,-7.79,866.93,-0.7192077637,-0.6210212708,1300270,1775935285.0116951
111.26,-1.88,104313.51,-4.96,,-2.88,-7.79,866.93,-0.7192077637,-0.6210212708,1300270,1775935285.013636
109.33,-2.11,104313.51,-4.69,,-2.92,-7.83,866.99,-0.7857017517,-0.5710449219,1300280,1775935285.015455
109.33,-2.11,104313.51,-4.69,,-2.92,-7.83,866.99,-0.7857017517,-0.5710449219,1300280,1775935285.016914
108.61,-2.18,104209.62,-4.88,,-2.84,-7.91,867.66,-0.7916507721,-0.7209663391,1300290,1775935285.018
108.61,-2.18,104209.62,-4.88,,-2.84,-7.91,867.66,-0.7916507721,-0.7209663391,1300290,1775935285.018986
111.62,-2.07,104270.21,-4.50,,-3.15,-7.99,867.48,-0.7186660767,-0.4853782654,1300300,1775935285.020113
111.62,-2.07,104270.21,-4.50,,-3.15,-7.99,867.48,-0.7186660767,-0.4853782654,1300300,1775935285.021238
110.90,-2.18,104313.51,-4.53,,-2.80,-7.91,867.12,-0.8603115082,-0.1676864624,1300310,1775935285.040423
111.26,-2.15,104313.51,-4.96,,-2.88,-7.83,866.93,-0.5662078857,-0.6210212708,1300320,1775935285.044491
111.26,-2.15,104313.51,-4.96,,-2.88,-7.83,866.93,-0.5662078857,-0.6210212708,1300320,1775935285.045151
111.62,-2.15,104434.68,-4.96,,-3.15,-7.91,866.99,-1.0760231018,-0.4461135864,1300330,1775935285.0457358
111.62,-2.15,104434.68,-4.96,,-3.15,-7.91,866.99,-1.0760231018,-0.4461135864,1300330,1775935285.04628
110.66,-2.45,104348.12,-5.00,,-3.22,-7.83,866.93,-0.9154548645,-0.7245368958,1300340,1775935285.0468218
110.66,-2.45,104348.12,-5.00,,-3.22,-7.83,866.93,-0.9154548645,-0.7245368958,1300340,1775935285.04731
110.66,-2.45,104348.12,-4.88,,-3.53,-8.37,867.05,-0.7927303314,-0.1926727295,1300350,1775935285.047742
110.66,-2.45,104348.12,-4.88,,-3.53,-8.37,867.05,-0.7927303314,-0.1926727295,1300350,1775935285.049348
111.62,-2.15,104434.68,-4.53,,-3.30,-8.10,866.99,-0.9981727600,-0.5674743652,1300360,1775935285.095537
111.62,-2.15,104434.68,-4.53,,-3.30,-8.10,866.99,-0.9981727600,-0.5674743652,1300360,1775935285.11895
111.14,-2.41,104313.51,-5.00,,-3.15,-8.25,866.99,-0.7229900360,-0.6852722168,1300370,1775935285.119669
111.62,-2.11,104348.12,-4.65,,-3.19,-7.91,866.99,-0.8705806732,-0.3854293823,1300380,1775935285.120234
111.62,-2.11,104348.12,-4.65,,-3.19,-7.91,866.99,-0.8705806732,-0.3854293823,1300380,1775935285.1208
111.62,-2.49,104313.51,-4.88,,-3.11,-8.29,866.93,-0.7938117981,-0.6031723022,1300390,1775935285.121383
111.62,-2.49,104313.51,-4.88,,-3.11,-8.29,866.93,-0.7938117981,-0.6031723022,1300390,1775935285.121928
111.14,-2.11,104348.12,-4.61,,-3.15,-7.91,867.66,-0.8181438446,-0.9422836304,1300400,1775935285.1224792
111.14,-2.11,104348.12,-4.61,,-3.15,-7.91,867.66,-0.8181438446,-0.9422836304,1300400,1775935285.123024
110.66,-2.41,104313.51,-4.96,,-2.92,-7.87,866.99,-1.0230407715,-0.2319374084,1300410,1775935285.123568
110.66,-2.41,104313.51,-4.96,,-2.92,-7.87,866.99,-1.0230407715,-0.2319374084,1300410,1775935285.1455538
