t,baro_alt,ax,ay,az,gx,gy,gz,altTemp,lat,lon,gps_alt,gps_fix,rssi,snr
3.58,-15.085232400000223,-0.23,-4.183,-8.672,0.006,-0.013,0.006,49.04,35.3478849,-117.8094812,622.612,3,,
4.156,-13.936938400000145,-0.23,-4.164,-8.696,0.007,-0.013,0.007,49.04,35.3478844,-117.8094814,622.807,3,,
5.234,-15.38050800000019,-0.215,-4.168,-8.715,0.01,-0.012,0.006,49.05,35.3478841,-117.8094816,622.779,3,,
6.275,-16.824077599999782,-0.23,-4.168,-8.686,0.006,-0.013,0.006,49.05,35.3478838,-117.8094818,622.807,3,,
7.258,-16.528801999999814,-0.206,-4.111,-8.767,0.004,-0.013,0.007,49.06,35.3478827,-117.8094827,622.882,3,,
8.235,-18.562922799999797,-0.22,-4.015,-8.839,0.017,-0.013,0.006,49.06,35.3478818,-117.8094832,622.945,3,,
9.277,-17.97237159999986,-0.225,-4.25,-8.7,0.009,-0.012,0.006,49.06,35.3478814,-117.8094834,623.076,3,,
10.155,-19.153474000000188,-0.225,-4.173,-8.758,0.004,-0.013,0.007,49.07,35.3478814,-117.8094833,623.047,3,,
11.237,-20.006492399999843,-0.211,-4.159,-8.696,0.01,-0.015,0.007,49.07,35.3478814,-117.8094832,622.873,3,,
12.222,-20.301768000000266,-0.22,-4.197,-8.748,0.01,-0.012,0.006,49.07,35.3478814,-117.8094831,622.585,3,,
13.264,-20.006492399999843,-0.225,-4.192,-8.753,0.01,-0.015,0.007,49.08,35.3478814,-117.809483,622.517,3,,
14.141,-20.006492399999843,-0.211,-4.187,-8.681,0.009,-0.013,0.007,49.07,35.3478813,-117.8094828,622.405,3,,
15.219,-17.97237159999986,-0.22,-4.149,-8.763,0.006,-0.013,0.006,49.05,35.3478812,-117.8094828,622.284,3,,
16.263,-19.153474000000188,-0.206,-4.202,-8.672,0.01,-0.013,0.009,49.03,35.3478804,-117.8094832,622.121,3,,
17.247,-19.711216799999875,-0.215,-4.216,-8.705,0.006,-0.013,0.009,49.05,35.3478794,-117.8094835,621.595,3,,
18.232,-15.64297519999991,-0.215,-4.216,-8.686,0.009,-0.015,0.009,49.06,35.3478779,-117.8094841,621.089,3,,
19.211,-16.2335264000003,-0.22,-4.231,-8.667,0.009,-0.012,0.006,49.07,35.3478783,-117.8094841,620.836,3,,
20.25,-15.64297519999991,-0.22,-4.207,-8.715,0.004,-0.012,0.006,49.07,35.3478788,-117.8094841,621.029,3,,
