type,ms,gps_valid,lat,lon,gps_alt_mm,heading,fix_type,sats,imu_valid,ax,ay,az,gx,gy,gz,imu_temp_c,alt1_valid,alt1_pressure_mbar,alt1_temp_c,alt1_alt_m,alt2_valid,alt2_pressure_mbar,alt2_temp_c,alt2_alt_m
T,3580,1,353478849,-1178094812,622612,7271663,3,27,1,-0.230,-4.183,-8.672,0.006,-0.013,0.006,70.06,1,941.71,49.04,661.39,1,939.55,49.69,632.49
T,4156,1,353478844,-1178094814,622807,7271663,3,27,1,-0.230,-4.164,-8.696,0.007,-0.013,0.007,69.85,1,941.67,49.04,661.74,1,939.54,49.69,632.58
T,5234,1,353478841,-1178094816,622779,7271663,3,27,1,-0.215,-4.168,-8.715,0.010,-0.012,0.006,69.75,1,941.72,49.05,661.30,1,939.60,49.69,632.05
T,6275,1,353478838,-1178094818,622807,7271663,3,26,1,-0.230,-4.168,-8.686,0.006,-0.013,0.006,69.77,1,941.77,49.05,660.86,1,939.59,49.70,632.14
T,7258,1,353478827,-1178094827,622882,7271663,3,27,1,-0.206,-4.111,-8.767,0.004,-0.013,0.007,69.80,1,941.76,49.06,660.95,1,939.60,49.70,632.05
T,8235,1,353478818,-1178094832,622945,7271663,3,26,1,-0.220,-4.015,-8.839,0.017,-0.013,0.006,69.80,1,941.83,49.06,660.33,1,939.65,49.70,631.61
T,9277,1,353478814,-1178094834,623076,7271663,3,28,1,-0.225,-4.250,-8.700,0.009,-0.012,0.006,69.84,1,941.81,49.06,660.51,1,939.63,49.70,631.78
T,10155,1,353478814,-1178094833,623047,7271663,3,28,1,-0.225,-4.173,-8.758,0.004,-0.013,0.007,69.88,1,941.85,49.07,660.15,1,939.72,49.70,630.99
T,11237,1,353478814,-1178094832,622873,7271663,3,27,1,-0.211,-4.159,-8.696,0.010,-0.015,0.007,69.88,1,941.88,49.07,659.89,1,939.67,49.70,631.43
T,12222,1,353478814,-1178094831,622585,7271663,3,27,1,-0.220,-4.197,-8.748,0.010,-0.012,0.006,69.89,1,941.89,49.07,659.80,1,939.68,49.70,631.34
T,13264,1,353478814,-1178094830,622517,7271663,3,25,1,-0.225,-4.192,-8.753,0.010,-0.015,0.007,69.84,1,941.88,49.08,659.89,1,939.62,49.70,631.87
T,14141,1,353478813,-1178094828,622405,7271663,3,25,1,-0.211,-4.187,-8.681,0.009,-0.013,0.007,69.87,1,941.88,49.07,659.89,1,939.66,49.71,631.52
T,15219,1,353478812,-1178094828,622284,7271663,3,26,1,-0.220,-4.149,-8.763,0.006,-0.013,0.006,69.71,1,941.81,49.05,660.51,1,939.61,49.67,631.96
T,16263,1,353478804,-1178094832,622121,7271663,3,25,1,-0.206,-4.202,-8.672,0.010,-0.013,0.009,69.83,1,941.85,49.03,660.15,1,939.63,49.65,631.78
T,17247,1,353478794,-1178094835,621595,7271663,3,25,1,-0.215,-4.216,-8.705,0.006,-0.013,0.009,69.84,1,941.87,49.05,659.98,1,939.62,49.68,631.87
T,18232,1,353478779,-1178094841,621089,7271663,3,26,1,-0.215,-4.216,-8.686,0.009,-0.015,0.009,69.85,1,941.73,49.06,661.22,1,939.57,49.69,632.31
